"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1968155968694567198","Wed Sep 17 03:32:04 +0000 2025","0","@kring_pajak taxmin mau tanya untuk peraturan terbaru mengenai perhitungan PPh 21 bukan pegawai di coretax itu bagaimana ya apakah seperti ini atau menggunakan tarif progresif? Mohon pencerahannya https://t.co/5xkMtXKggO","1968155968694567198","https://pbs.twimg.com/media/G1BLar0bgAAqdpP.jpg","kring_pajak","in","","0","2","0","https://x.com/undefined/status/1968155968694567198","1256561195596648448",
"1968151938375225490","Wed Sep 17 03:29:35 +0000 2025","1","Itu pas banget coretax baru diluncurkan dan petugas kagak ada penjelasan sama sekali WKWKWKWKK Ga guna banget tu mulut buat ngejelasin aja kagak bisa untung aku anaknya udh biasa mode otodidak ","1968155345043570710","","febrina__af1412","in","","0","0","0","https://x.com/undefined/status/1968155345043570710","1679756793864683520",
"1968154644343034195","Wed Sep 17 03:26:48 +0000 2025","1","coretax ini maunya apasih tiap hari ada aja gebrakannya","1968154644343034195","","","in","","0","0","0","https://x.com/undefined/status/1968154644343034195","1524681007441793028",
"1968153218489421937","Wed Sep 17 03:21:08 +0000 2025","0","Kantor Pelayanan Pajak (KPP) Pratama Jember menyelenggarakan kegiatan Edukasi Coretax kepada Civitas Akademika Universitas PGRI Argopuro Jember (Kamis 4/9). https://t.co/ec6M2zy5xM","1968153218489421937","https://pbs.twimg.com/media/G1BI0-8bsAAINoD.jpg","","in","","0","0","0","https://x.com/undefined/status/1968153218489421937","3168415772",
"1968151915847688353","Wed Sep 17 03:15:57 +0000 2025","2","Coretax kayak cewe suka ngambekan terus ","1968151915847688353","","","in","","0","0","0","https://x.com/undefined/status/1968151915847688353","1580230658357854210",
"1968150920170180788","Wed Sep 17 03:12:00 +0000 2025","0","@kring_pajak pagi taxmin mau tanya untuk di coretax ini penghitungan PPh 21 bon employee itu jika sudah melebihi 60 jt setahun apakah tarifnya akan menjadi 15%?","1968150920170180788","","kring_pajak","in","","0","1","0","https://x.com/undefined/status/1968150920170180788","1256561195596648448",
"1968150553210638800","Wed Sep 17 03:10:33 +0000 2025","1","@kring_pajak min permintaan surat keterangan non pkp sekarang bisa pengajuan lewat coretax atau tetap harus ke kpp ya?","1968150553210638800","","kring_pajak","in","","0","1","0","https://x.com/undefined/status/1968150553210638800","1917426572",
"1967815967221878911","Wed Sep 17 03:10:02 +0000 2025","0","@bagus_andik Hai Kak Terkait daftar kode untuk pengisian pada kolom informasi tambahan dapat dilihat pada file Converter XML yang dapat diakes pada tautan berikut https://t.co/qe1j6ST6Et. Pada sheet referensi (REF) terdapat daftar kode untuk transaksi dengan Kode Faktur 070 dan 080 ya Kak.","1968150424474751385","","bagus_andik","in","","0","0","0","https://x.com/undefined/status/1968150424474751385","4564565058",
"1968148539307110450","Wed Sep 17 03:02:32 +0000 2025","0","Kantor Pelayanan Pajak (KPP) Pratama Jember menyelenggarakan kegiatan Edukasi Coretax kepada Civitas Akademika Universitas Muhammadiyah Jember (Rabu 3/9). https://t.co/YdbMPXHI28","1968148539307110450","https://pbs.twimg.com/media/G1BEm6raoAAlQ2g.jpg","","in","","0","0","0","https://x.com/undefined/status/1968148539307110450","3168415772",
"1968148050486165778","Wed Sep 17 03:00:36 +0000 2025","1","enek bgt ya Allah coretax udah berapa hari ini error mulu badjiguuur","1968148050486165778","","","in","","0","0","0","https://x.com/undefined/status/1968148050486165778","1651033567571644416",
"1968147993162399785","Wed Sep 17 03:00:22 +0000 2025","1","Kamu Mau Belajar PPh 21 dari A sampai Z dengan Ahlinya? BISA BANGEEET ‼️ Yuk ikut Online Training PPh 21 Fundamental: Konsep Dasar Praktik Pembuatan e-Bupot dan SPT PPh 21 Coretax dan Strategi Pengelolaan yang Efektif https://t.co/dvlKDl56RB","1968147993162399785","https://pbs.twimg.com/media/G1BEK3IXQAAA6vc.jpg","","in","","0","1","0","https://x.com/undefined/status/1968147993162399785","2723109170",
"1967843994475569352","Wed Sep 17 02:58:52 +0000 2025","0","@Mangosago1673 Hai Kak. Mohon maaf atas ketidaknyamanannya. Silakan Kakak dapat melakukan langkah berikut untuk mengakses laman Coretax: 1. Pastikan alamat laman adalah https://t.co/1FgMLmAS49; 2. Clear cookies dan cache pada browser; 2. Gunakan browser lain; 3. Gunakan private window","1968147615821992238","","Mangosago1673","in","","0","0","0","https://x.com/undefined/status/1968147615821992238","4564565058",
"1965989056120271046","Wed Sep 17 02:55:07 +0000 2025","0","@faiikimy Hai Kak. Mohon maaf atas ketidaknyamanannya. Untuk permasalahan gagal login akun Coretax dengan kode error Nama Pengguna Tidak Ditemukan mohon dipastikan pengisian ID Pengguna menggunakan NPWP 16 digit. Bagi WPLN (cukup ditambahkan angka 0 di awal penulisan NPWP : 0 + NPWP","1968146670480396656","","faiikimy","in","","1","1","0","https://x.com/undefined/status/1968146670480396656","4564565058",
"1968146629623681372","Wed Sep 17 02:54:57 +0000 2025","0","nanti relawan kena amuk WP grgr coretax ","1968146629623681372","","","in","","0","0","0","https://x.com/undefined/status/1968146629623681372","103165344",
"1967091445325861187","Wed Sep 17 02:50:47 +0000 2025","0","@kimi198021 @PakarINTELek Ya lu goblok brati..pegawai pajak dibayar tinggi tp pengemplang pajak sampe 99%.itu ngemplang ato km bantu ngemplang.bangsat apa kerjamu..dari coretax kt bs tau rata2 otak udang smua kalian.tai.99% ngemplang pajak..bangga kau buka aib kebodohanmu","1968145580569530818","","kimi198021","in","","0","0","0","https://x.com/undefined/status/1968145580569530818","712128847",
"1968145409102295179","Wed Sep 17 02:50:06 +0000 2025","0","Kak emang djp online (bukan coretax) uda gabisa dibuka? @kring_pajak","1968145409102295179","","","in","","0","1","0","https://x.com/undefined/status/1968145409102295179","1663376847286173697",
"1968142842901004642","Wed Sep 17 02:39:54 +0000 2025","0","Soal Penyesuaian Tarif Cukai Rokok 2026 Purbaya: Tunggu Hasil Kajian Rencana intensifikasi penerimaan melalui penyesuaian tarif cukai rokok pada tahun depan akan mempertimbangkan 4 faktor. #ddtc #ddtcnews #beritapajakhariini #BPHI #cukairokok #coretax https://t.co/0giphzyQI3","1968142842901004642","","","in","","0","0","0","https://x.com/undefined/status/1968142842901004642","743982727095947265",
"1968142623291703358","Wed Sep 17 02:39:02 +0000 2025","0","ini coretax beneran eror terus kah dri kmrin kmrin?? PDHAL AKU UDH PAKE 2 DEVICE NJIRR","1968142623291703358","","","in","","0","0","0","https://x.com/undefined/status/1968142623291703358","1708331346056404992",
